"CO","CI","SV","SVI","SVV","PRV","PR","SYS","DIA","MAP","SI","time","SVR","SVRI","volume","drug_dose"
2.9,2,23,16,7,0,124,63,49,55,1.96825396825397,4880,1406.89655172414,2040,20,0.121599027207782
2.8,1.9,22,15,7,0,128,64,50,56,2,4900,1485.71428571429,2189.47368421053,20,0.121599027207782
2.6,1.8,20,14,8,0,129,63,49,55,2.04761904761905,4920,1569.23076923077,2266.66666666667,20,0.121599027207782
2.2,1.5,18,12,8,0,126,61,50,54,2.0655737704918,4940,1818.18181818182,2666.66666666667,20,0.121599027207782
2.2,1.5,17,12,8,0,125,59,49,53,2.11864406779661,4960,1781.81818181818,2613.33333333333,20,0.121599027207782
2.4,1.6,19,13,8,0,127,61,49,54,2.08196721311475,4980,1666.66666666667,2500,20,0.121599027207782
2.5,1.7,20,14,11,0,126,60,48,54,2.1,5000,1600,2352.94117647059,20,0.121599027207782
2.5,1.7,20,14,7,0,126,61,49,54,2.0655737704918,5020,1600,2352.94117647059,20,0.121599027207782
2.5,1.7,19,13,12,0,129,61,48,54,2.11475409836066,5040,1600,2352.94117647059,20,0.121599027207782
2.5,1.7,20,14,12,0,122,60,48,54,2.03333333333333,5060,1600,2352.94117647059,20,0.121599027207782
2.5,1.7,20,14,11,0,125,61,49,54,2.04918032786885,5080,1600,2352.94117647059,20,0.121599027207782
2.8,1.9,21,14,9,0,131,63,49,55,2.07936507936508,5100,1457.14285714286,2147.36842105263,20,0.121599027207782
2.8,1.9,21,15,7,0,129,62,48,55,2.08064516129032,5120,1457.14285714286,2147.36842105263,20,0.121599027207782
2.4,1.6,18,13,11,0,130,61,49,54,2.13114754098361,5140,1666.66666666667,2500,20,0.121599027207782
2.1,1.4,16,11,11,0,131,61,50,55,2.14754098360656,5160,1942.85714285714,2914.28571428571,20,0.121599027207782
2.2,1.5,17,12,11,0,129,61,50,55,2.11475409836066,5180,1854.54545454545,2720,20,0.121599027207782
2.1,1.4,16,11,11,0,128,58,49,53,2.20689655172414,5200,1866.66666666667,2800,20,0.121599027207782
2.3,1.6,18,12,11,0,130,59,49,53,2.20338983050847,5220,1704.34782608696,2450,20,0.121599027207782
2.3,1.6,18,12,11,0,130,58,48,53,2.24137931034483,5240,1704.34782608696,2450,20,0.121599027207782
2.4,1.7,19,13,11,0,128,59,48,53,2.16949152542373,5260,1633.33333333333,2305.88235294118,20,0.121599027207782
2.5,1.7,19,13,16,0,128,60,48,54,2.13333333333333,5280,1600,2352.94117647059,20,0.121599027207782
2.4,1.6,18,13,11,0,130,58,47,52,2.24137931034483,5300,1600,2400,20,0.121599027207782
2.5,1.7,20,13,6,0,126,60,48,53,2.1,5320,1568,2305.88235294118,20,0.121599027207782
2.6,1.8,20,14,3,0,130,62,48,54,2.09677419354839,5340,1538.46153846154,2222.22222222222,20,0.121599027207782
2.6,1.8,20,14,8,0,128,60,48,53,2.13333333333333,5360,1507.69230769231,2177.77777777778,20,0.121599027207782
2.7,1.8,20,14,8,0,131,59,47,52,2.22033898305085,5380,1422.22222222222,2133.33333333333,20,0.121599027207782
2.6,1.8,21,14,8,0,126,61,48,54,2.0655737704918,5400,1538.46153846154,2222.22222222222,20,0.121599027207782
2.7,1.8,21,14,7,0,130,62,49,54,2.09677419354839,5420,1481.48148148148,2222.22222222222,20,0.121599027207782
2.7,1.8,21,14,7,0,127,62,48,54,2.04838709677419,5440,1481.48148148148,2222.22222222222,20,0.121599027207782
2.7,1.8,21,15,8,0,127,61,48,54,2.08196721311475,5460,1481.48148148148,2222.22222222222,20,0.121599027207782
2.7,1.8,21,14,6,0,128,61,48,53,2.09836065573771,5480,1451.85185185185,2177.77777777778,20,0.121599027207782
2.6,1.8,20,14,6,0,129,61,47,53,2.11475409836066,5500,1507.69230769231,2177.77777777778,20,0.121599027207782
